Chunk_size,Chunk_Overlap,Top_N,Distance_Function,Time,Story Number,Question Number,isQuestionBad,isAnswerAbsent,EM,Precision,Recall,F1,Original Question,Correct Answer,Normalized Actual Answer,Predicted Answer,Normalized Predicted Answer,EM Fail,Chunk Retrieval Failure,Answer Generation Failure,Answer Too Long,Question Type,Did not retrieve correct chunk,Did not generate correct answer,Answer too long,Answer is the same meaning,Better answer
100,0,2,cosine,302.6175685,1,1,0,0,0,0.041666667,0.25,0.071428571,what happened in chad,"attempt by rebels there to topple the government.
",attempt rebel toppl govern,"1. Rebels attacked N'Djamena (capital of Chad)
    2. Refugees fled to eastern Chad refugee camps
    3. Security situation worsened south of the country
    4. 30,000 people fled to Cameroon","1. rebel attack n'djamena capit chad 2. refuge fled eastern chad refuge camp 3. secur situat worsen south countri 4 30,000 peopl fled cameroon",1,1,0,0,what,1,0,0,0,1
100,0,2,cosine,336.3413525,1,2,0,0,0,0.25,0.285714286,0.266666667,Who is fighting in Chad?,"government forces, rebel groups and allied militia groups ",govern forc rebel group alli militia group,"1. Rebels (in N'Djamena)
    2. Sudanese militia (from Darfur region)",1. rebel n'djamena 2. sudanes militia darfur region,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,370.5496247,1,3,0,0,0,0,0,0,What is Darfur wracked by?,Fighting ,fight,"1) Fighting/War (in general)
    2) Violence/Conflict (related to Sudanese region of Darfur)",1 fighting/war gener 2 violence/conflict relat sudanes region darfur,1,1,0,0,what,1,0,0,0,1
100,0,2,cosine,399.3793669,1,4,0,0,0,0,0,0,How many have recently crossed to Chad?,"12,000","12,000","30,000 people","30,000 peopl",1,1,0,0,how many,1,0,0,0,0
100,0,2,cosine,431.0223975,1,5,0,0,0,0,0,0,How many people have crossed to Chad in last few days?,"12,000","12,000","30,000","30,000",1,1,0,0,how many,1,0,0,0,0
100,0,2,cosine,460.1986263,1,7,0,0,0,0,0,0,Who was killed in Dafur?,"Red Cross employee dead, ",red cross employe dead,45-year-old Sudanese national (father),45-year-old sudanes nation father,1,0,1,0,who,0,1,0,0,0
100,0,2,cosine,492.1955001,2,0,0,0,0,0,0,0,who did say South Africa did not issue a visa on time?,Archbishop Desmond Tutu ,archbishop desmond tutu,1. Speculation surfaced that... (The speculation implies someone said something but it's not explicitly stated who.),1. specul surfac ... specul impli someon said someth 's explicitli state,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,533.0492692,2,2,0,0,0,0.04,1,0.076923077,who is responsible for all this,government. ,govern,"1. Parties involved in hostilities (not specified)
    2. Government officials (for visa process explanation)
    3. Unspecified government(s) (denying legitimacy to someone)
    4. ICRC (responsible for employee's death, if it was due to hostilities)",1. parti involv hostil specifi 2. govern offici visa process explan 3. unspecifi govern deni legitimaci someon 4. icrc respons employe 's death due hostil,1,1,0,0,who,1,0,0,0,1
100,0,2,cosine,559.6071992,2,5,0,0,0,0,0,0,Who does the African National Congress say should calm down?,Tutu ,tutu, South Africa's government,south africa 's govern,1,0,1,0,who,0,1,0,0,0
100,0,2,cosine,589.9613833,2,7,0,0,0,0.090909091,0.333333333,0.142857143,Who says the government is acting worse than apartheid regime?,Archbishop Desmond Tutu ,archbishop desmond tutu,1. The speaker suggests that Tutu believes the current government acts worse than apartheid regimes.,1. speaker suggest tutu believ current govern act wors apartheid regim,1,1,0,0,who,1,0,1,0,0
100,0,2,cosine,618.5886409,2,8,0,0,0,0,0,0,Who was denied visa to South Africa in 2009?,Dalai Lama ,dalai lama, Robert Mugabe (Zimbabwe's President),robert mugab zimbabw 's presid,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,641.6969745,3,0,0,0,0,0,0,0,How many years old was the businessman?,29-year-old ,29-year-old,29,29,1,0,1,0,how many,0,1,0,0,0
100,0,2,cosine,667.9358976,3,1,0,0,0,0,0,0,What did Gerrard admit,throwing three punches ,throw three punch, Not admitted (or nothing about admitting anything),admit noth admit anyth,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,698.3337793,3,2,0,0,0,0.222222222,1,0.363636364,Who was cleared by a Liverpool court?,Steven Gerrard ,steven gerrard,"1) Steven Gerrard
    2) The England international footballer
    3) Gerrard",1 steven gerrard 2 england intern footbal 3 gerrard,1,0,0,1,who,0,0,1,1,0
100,0,2,cosine,722.7547648,3,3,0,0,1,1,1,1,Who was cleared of charges,Steven Gerrard ,steven gerrard, Steven Gerrard,steven gerrard,0,0,0,0,who,0,0,0,0,0
100,0,2,cosine,751.4412949,3,4,0,0,0,0,0,0,What did Gerrard admit doing?,"punching businessman Marcus McGhee.
",punch businessman marcu mcghee,"1. Wanted to change CD player music

Reference(s):
CNN",1. want chang cd player music refer cnn,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,778.3732154,3,5,0,0.33,0,0.285714286,0.25,0.266666667,What did the Jury accept,They accepted the Liverpool captain's version that he acted in self defense ,accept liverpool captain 's version act self defens, The jury accepted Kochar's claim that he believed he was about to be attacked.,juri accept kochar 's claim believ attack,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,804.2256503,3,6,0,0,0,0.5,0.333333333,0.4,Who did Gerrard admit to punching?,"businessman Marcus McGhee.
",businessman marcu mcghee,1 businessman,1 businessman,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,829.8452284,3,7,0,0,1,1,1,1,Who was cleared of affray charge?,Steven Gerrard ,steven gerrard, Steven Gerrard,steven gerrard,0,0,0,0,who,0,0,0,0,0
100,0,2,cosine,856.9987466,4,0,0,0,0,0,0,0,What frightened the families?,"a series of killings and threats by Muslim extremists ordering them to convert to Islam or face death.
",seri kill threat muslim extremist order convert islam face death,1424 Iraqi Christian families were frightened by attacks from terrorist groups.,1424 iraqi christian famili frighten attack terrorist group,1,1,0,0,what,1,0,0,1,0
100,0,2,cosine,884.4874444,4,1,0,0.2,0,0,0,0,How many Christian families have been displaced,"1,424","1,424",6000 (Christian families),6000 christian famili,1,0,1,0,how many,0,1,0,0,0
100,0,2,cosine,907.5456605,4,2,0,0,0,0.5,1,0.666666667,What did extremists order thdm to do,"Islam or face death.
",islam face death,"1. Convert to Islam
    2. Face death",1. convert islam 2. face death,1,1,0,0,what,1,0,0,1,1
100,0,2,cosine,933.3288279,4,3,0,0,0,0,0,0,How many families have been displaced?,"1,424","1,424",1424 families,1424 famili,1,0,1,0,how many,0,1,0,1,0
100,0,2,cosine,960.8899281,4,4,0,0.33,0,0,0,0,What were the families ordered to do?,"Islam or face death.
",islam face death,"1. Displaced (from their homes)
    2. Build housing complexes",1. displac home 2. build hous complex,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,988.5778971,4,5,0,0,0,0,0,0,How many Christians have been slain,Fourteen ,fourteen,14,14,1,0,1,0,how many,0,1,0,1,0
100,0,2,cosine,1010.108384,4,6,0,0,0,0,0,0,Who was displaced?,"1,424 families, ","1,424 famili",1. Iraqis (from their homes),1. iraqi home,1,0,1,0,who,0,1,0,0,0
100,0,2,cosine,1037.115845,4,7,0,0,0,0.166666667,1,0.285714286,Who are the extremists ordering to convert to Islam?,Muslim ,muslim,"1. Muslim militants
    2. Terrorist groups",1. muslim milit 2. terrorist group,1,0,0,1,who,0,0,0,0,1
100,0,2,cosine,1068.597391,5,0,0,0,0,0,0,0,what Pope used to beat himself?,John Paul II ,john paul ii,1. whip (noun) or flagellate (verb),1. whip noun flagel verb,1,0,1,0,what,0,1,0,0,0
100,0,2,cosine,1098.705056,5,1,0.33,0,0,0.1,1,0.181818182,"who ""a particular pant-belt"" to beat himself, book says?",Pope ,pope,"1) Pope John Paul II
    2) The pope (John Paul II)",1 pope john paul ii 2 pope john paul ii,1,1,0,0,who,1,0,1,1,0
100,0,2,cosine,1127.573353,5,2,0,0,0,0,0,0,"who says ""Why he is a Saint: The True story of John Paul II""?","Slawomir Oder, ",slawomir oder, David Gibson,david gibson,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,1153.839861,5,4,0.33,0,0,0,0,0,what did he do,used to beat himself with a belt and sleep on a bare floor ,use beat belt sleep bare floor, He submitted a visa application to the South African High Commission for himself and his entourage.,submit visa applic south african high commiss entourag,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,1179.258124,5,7,0.33,0,0,0.75,1,0.857142857,what pope is this,John Paul II ,john paul ii, Pope John Paul II,pope john paul ii,1,0,0,1,what,0,0,1,1,0
100,0,2,cosine,1208.505946,5,8,0.33,0,0,0.25,1,0.4,when John Paul wrot a apostolic letter on suffering?,"1984.
",1984,1984 (Salvifici Doloris published),1984 salvifici dolori publish,1,1,0,0,when,1,0,1,1,0
100,0,2,cosine,1241.153378,6,0,0,0,0,0,0,0,Who is hiring?,the federal government ,feder govern,"1. Navy (for machinists)
    2. Bureau (unspecified job type)
    3. Unnamed companies (clerical workers)",1. navi machinist 2. bureau unspecifi job type 3. unnam compani cleric worker,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,1265.350744,6,1,0,0,0,0.125,1,0.222222222,What does the navy need?,workers ,worker,"1. Engineering expertise
    2. Machinists
    3. Clerical workers",1. engin expertis 2. machinist 3. cleric worker,1,1,0,0,what,1,0,0,0,1
100,0,2,cosine,1286.969995,6,3,0,0.5,0,0.5,0.25,0.333333333,What kind of scientists does the Navy need?,"engineering, physics, chemistry and other sciences.
",engin physic chemistri scienc,1. Engineers,1. engin,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,1314.486417,6,4,0,0,0,0.25,1,0.4,What kind of club in Rhode Island needs more workers?,strip ,strip,1. Strip Club (Providence),1. strip club provid,1,0,0,1,what,0,0,1,1,0
100,0,2,cosine,1340.198628,6,5,0,0,0,0,0,0,What does the strip club in Rhode Island need more of?,workers ,worker,25-30 employees,25-30 employe,1,1,0,0,what,1,0,0,0,1
100,0,2,cosine,1365.285277,6,6,0,0,0,0,0,0,Census bureaus are hiring people from where?,Denver area. ,denver area,"1. Idaho
    2. Alabama",1. idaho 2. alabama,1,1,0,0,where,1,0,0,0,0
100,0,2,cosine,1388.730672,6,7,0,0,0,0.4,1,0.571428571,what government organization is hiring?,"census bureau, ",censu bureau,1. Census Bureau (or simply 'Census'),1. censu bureau simpli 'censu,1,1,0,0,what,1,0,1,1,0
100,0,2,cosine,1411.586309,7,0,0,0.33,0,0.333333333,1,0.5,What war was the Iwo Jima battle a part of?,II ,ii, World War II,world war ii,1,0,0,1,what,0,0,1,1,1
100,0,2,cosine,1437.609815,7,1,0,0.33,0,0.5,1,0.666666667,Where was Michael Strank born?,Czechoslovakia ,czechoslovakia,1. Czechoslovakia,1. czechoslovakia,1,0,0,1,where,0,0,0,1,0
100,0,2,cosine,1465.894379,7,2,0,0.33,0,0.2,1,0.333333333,Where was STrank killed?,on the island ,island, Island (or Seleia if more specific information is required),island seleia specif inform requir,1,0,0,1,where,0,0,1,1,1
100,0,2,cosine,1509.272146,7,3,0,0.33,0,0.074074074,0.666666667,0.133333333,Who was among six who famously raised flag on Iwo Jima?,"Sgt. Michael Strank, ",sgt michael strank,"1. John Bradley
    2. Rene Gagnon
    3. Ira Hayes
    4. Franklin Sousa
    5. Michael Strank (posthumous U.S. citizenship)
    6. Harlon Block (killed in action, posthumously awarded the Medal of Honor)",1. john bradley 2. rene gagnon 3. ira hay 4. franklin sousa 5. michael strank posthum u.s. citizenship 6. harlon block kill action posthum award medal honor,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,1533.647022,7,4,0,0,0,0,0,0,What rank did Michael Strank hold?,Sgt. ,sgt, Sergeant,sergeant,1,1,0,0,what,1,0,1,1,1
100,0,2,cosine,1567.165138,7,5,0,0.33,0,0,0,0,When was the certificate given to his sister?,"Tuesday.
",tuesday,1945 (based on the assumption that Mary received her citizenship at the same time as her brother),1945 base assumpt mari receiv citizenship time brother,1,1,0,0,when,1,0,0,0,0
100,0,2,cosine,1592.987334,7,6,0,0.33,0,0,0,0,Who was killed on Iwo Jima in World War II ?,"Michael Strank, ",michael strank,1. John Bradley (Marine),1. john bradley marin,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,1617.618672,7,7,0,0,0,0.5,1,0.666666667,"WHERE WAS Strank, born?",Czechoslovakia ,czechoslovakia,1. Czechoslovakia,1. czechoslovakia,1,0,0,1,where,0,0,0,1,0
100,0,2,cosine,1643.069552,7,8,0,0.33,1,1,1,1,What did Strank not receive?,"citizenship papers.
",citizenship paper, Citizenship papers,citizenship paper,0,0,0,0,what,0,0,0,1,0
100,0,2,cosine,1666.635517,7,9,0,0.33,0,0.5,1,0.666666667,Where was Strank born?,Czechoslovakia ,czechoslovakia,1. Czechoslovakia,1. czechoslovakia,1,0,0,1,where,0,0,0,1,0
100,0,2,cosine,1689.249341,8,0,0,0.33,0,1,0.5,0.666666667,Iran criticizes who?,U.S. President-elect Barack Obama ,u.s. president-elect barack obama, Barack Obama,barack obama,1,0,0,1,who,0,0,0,1,1
100,0,2,cosine,1712.060272,8,1,0,0.33,0,0.5,1,0.666666667,What are US and Iran relations tensioned about?,"nuclear program.
",nuclear program,1. Nuclear program of Iran,1. nuclear program iran,1,1,0,0,what,1,0,1,1,0
100,0,2,cosine,1740.747469,8,2,0,0,0,0.285714286,1,0.444444444,Who said Obama should apply campaign message?,Ali Larijani ,ali larijani,1. Iran's parliament speaker Ali Larijani,1. iran 's parliament speaker ali larijani,1,0,0,1,who,0,0,1,1,1
100,0,2,cosine,1769.745244,8,3,0,0.33,0,0.25,0.333333333,0.285714286,What should Obama apply according to speaker?,his campaign message of change ,campaign messag chang,1. Change (to U.S. dealings),1. chang u.s. deal,1,0,0,1,what,0,0,0,1,0
100,0,2,cosine,1798.213133,8,4,0,0,0,0.285714286,1,0.444444444,US - Iran tensions are high over what?,"nuclear program.
",nuclear program,"1. Nuclear program
    2. Uranium enrichment activities",1. nuclear program 2. uranium enrich activ,1,1,0,0,what,1,0,1,0,1
100,0,2,cosine,1823.100669,8,5,0,0,1,1,1,1,Who was the President of the US at this time?,Barack Obama ,barack obama, Barack Obama,barack obama,0,0,0,0,who,0,0,0,1,0
100,0,2,cosine,1848.176956,8,6,0,0,0,0,0,0,Who has tensions over Tehran's nuclear ambitions?,U.S. ,u., Western nations,western nation,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,1874.25491,8,7,0,0,0,0,0,0,Who criticized Obama ?,Iran's parliament speaker ,iran 's parliament speaker, Ali Larijani,ali larijani,1,0,1,0,who,0,1,0,0,0
100,0,2,cosine,1903.420393,8,8,0,0,0,0.285714286,0.5,0.363636364,Parliamentary speaker says who should apply campaign message of change?,U.S. President-elect Barack Obama ,u.s. president-elect barack obama, Obama (should) apply his campaign message of change to U.S. dealings,obama appli campaign messag chang u.s. deal,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,1927.573787,8,9,0,0,0,0,0,0,What kind of weapons are being discussed?,nuclear ,nuclear,"1. Aircraft (Naval Air Warfare Center Weapons Division)
    2. Military weapons (military attacks against civilians)",1. aircraft naval air warfar center weapon divis 2. militari weapon militari attack civilian,1,0,1,0,what,0,1,0,0,0
100,0,2,cosine,1954.131676,9,0,0,0,0,0.2,0.333333333,0.25,Who is Radu Mazare?,"mayor of the town of Constanta, ",mayor town constanta,1. Mayor of Bucharest (inferred from context),1. mayor bucharest infer context,1,1,0,0,who,1,0,0,0,0
100,0,2,cosine,1980.476319,9,1,0,0,0,0.5,1,0.666666667,Who is calling for the official's resignation?,organizations ,organ, Jewish organizations,jewish organ,1,0,0,1,who,0,0,1,1,1
100,0,2,cosine,2004.806107,9,2,0,0,0,0,0,0,What did Mazarin do?,he wore a Nazi uniform during a fashion show ,wore nazi uniform fashion show, Broke Romanian law.,broke romanian law,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,2026.816747,9,3,0,0,0,0.666666667,1,0.8,What did the mayor wear?,Nazi uniform ,nazi uniform,1. Nazi uniform,1. nazi uniform,1,0,0,1,what,0,0,0,1,0
100,0,2,cosine,2050.128359,9,4,0,0,0,0.5,1,0.666666667,What organizations  are calling for his resignation?,Jewish ,jewish, Jewish organizations,jewish organ,1,0,0,1,what,0,0,1,1,1
100,0,2,cosine,2081.011478,9,5,0,0,0,0.666666667,1,0.8,What did Radu Mazare say he did not notice?,the Nazi swastika symbol on the uniform before ,nazi swastika symbol uniform,1. The Nazi swastika symbol on his uniform before wearing it.,1. nazi swastika symbol uniform wear,1,0,0,1,what,0,0,0,1,0
100,0,2,cosine,2107.746674,9,6,0,0,0,0,0,0,What did the mayor do?,wore a Nazi uniform ,wore nazi uniform, The information provided does not specify what action the mayor took regarding Zuroff's suggestion about creating a city.,inform provid specifi action mayor took regard zuroff 's suggest creat citi,1,0,1,0,what,0,1,0,0,0
100,0,2,cosine,2138.284694,9,7,0,0,0,0,0,0,What did the Jews call for?,a Romanian official to resign and face a criminal investigation ,romanian offici resign face crimin investig,"1) Accountability of SS members responsible for Holocaust crimes.
    2) Access to Vatican archives related to WWII-era activities.",1 account ss member respons holocaust crime 2 access vatican archiv relat wwii-era activ,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,2163.952036,9,8,0,0,1,1,1,1,Who wore a Nazi uniform?,"Radu Mazare, ",radu mazar, Radu Mazare,radu mazar,0,0,0,0,who,0,0,0,1,0
100,0,2,cosine,2196.22818,10,0,0,0,0,0.5,1,0.666666667,How many followers does Rupert have?,"45,000","45,000","45000 (or 45,000)","45000 45,000",1,0,0,1,how many,0,0,1,1,1
100,0,2,cosine,2266.711574,10,2,0,0,0,0,0,0,What do his tweets talk about?,"family, work and politics, ",famili work polit,"1) Notorious technophobe
    2) Voice of the tweets
    3) Faltering grammar and punctuation
    4) Guilty of ""tweeting-before-thinking""",1 notori technophob 2 voic tweet 3 falter grammar punctuat 4 guilti `` tweeting-before-think '',1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,2289.132709,10,3,0,0.33,0,0,0,0,What is his age?,80-year-old ,80-year-old,29 years old,29 year old,1,0,1,0,what,0,1,0,0,0
100,0,2,cosine,2313.552223,10,4,0,0,0,0,0,0,what age is the person?,80-year-old ,80-year-old,29 years old,29 year old,1,0,1,0,what,0,1,0,0,0
100,0,2,cosine,2347.101933,10,5,0,0,0,0.166666667,0.333333333,0.222222222,What types of tweets does Murdoch write?,"about family, work and politics, ",famili work polit,"1. Family-related
    2. Work-related
    3. Political",1. family-rel 2. work-rel 3. polit,1,1,0,0,what,1,0,1,1,1
100,0,2,cosine,2372.901918,10,6,0,0,1,1,1,1,Which news channel was this information confirmed to?,CNN ,cnn, CNN,cnn,0,0,0,0,other,0,0,0,1,0
100,0,2,cosine,2402.65603,10,8,0,0,0,0,0,0,What is number of followers Murdoch has?,"45,000","45,000",4 (followed by Jack Dorsey),4 follow jack dorsey,1,0,1,0,what,0,1,0,0,0
100,0,2,cosine,2430.447307,11,0,0,0.33,0,0,0,0,What is the HBO series called?,"""Entourage"" ",`` entourag '',"1. Game of Thrones
    2. Westworld
    3. Chernobyl
    4. The Sopranos
    5. Veep",1. game throne 2. westworld 3. chernobyl 4. soprano 5. veep,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,2457.891926,11,1,0,0,0,0.333333333,1,0.5,"Who has ideas for an ""Entourage"" movie?",Piven: ,piven, Jeremy Piven (has) ideas,jeremi piven idea,1,0,0,1,who,0,0,1,1,0
100,0,2,cosine,2486.156599,11,2,0,0,0,1,0.5,0.666666667,"What network is ""Entourage"" on?",HBO's ,hbo 's, HBO,hbo,1,1,0,0,what,1,0,0,1,1
100,0,2,cosine,2513.679797,11,3,0,0,1,1,1,1,Who plays a used car salesman?,Jeremy Piven ,jeremi piven, Jeremy Piven,jeremi piven,0,0,0,0,who,0,0,0,1,0
100,0,2,cosine,2544.304052,11,4,0,0,0,0.5,1,0.666666667,Who does Jeremy Piven play?,a used car salesman ,use car salesman," Used car salesman (in ""The Goods"")",use car salesman `` good '',1,1,0,0,who,1,0,1,1,1
100,0,2,cosine,2561.026264,11,5,0,0,0,0,0,0,What is the name of the movie?,"""The Goods."" ",`` good '',300,300,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,2587.451126,11,6,0,0,0,0,0,0,What HBO series will continue as long as it stays fresh?,"""Entourage"" ",`` entourag '',1. Curb Your Enthusiasm (assuming that's the show mentioned),1. curb enthusiasm assum 's show mention,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,2613.898928,12,0,0,0,0,0.5,1,0.666666667,How many flights were affects?,100,100,100 flights,100 flight,1,0,0,1,how many,0,0,1,1,0
100,0,2,cosine,2639.51502,12,1,0,0,0,0,0,0,What did police say about why the man fled?,"his laptop computer bag tested positive for explosives, ",laptop comput bag test posit explos, Police didn't specify why the man fled.,polic n't specifi man fled,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,2661.626518,12,2,0,0,0,0,0,0,is the search being called a manhunt?,huge ,huge, Yes,ye,1,0,1,0,other,0,1,0,0,0
100,0,2,cosine,2686.250236,12,3,0.33,0,0,0.5,1,0.666666667,What terminal did passengers have to take?,"2, ",2, Terminal 2,termin 2,1,0,0,1,what,0,0,1,1,1
100,0,2,cosine,2707.868005,12,4,0,0,0,0.25,1,0.4,Who is seeking the man?,Police ,polic,1. Police (implied from context),1. polic impli context,1,0,0,1,who,0,0,1,1,0
100,0,2,cosine,2731.609187,12,5,0,0,0,0.5,1,0.666666667,what tested positive for explosives?,laptop computer bag ,laptop comput bag,"1) Laptop computer bag
    2) Bag",1 laptop comput bag 2 bag,1,1,0,0,what,1,0,1,1,0
100,0,2,cosine,2754.185611,12,6,0,0,0,0,0,0,Have the police found the man yet?,They are still trying to find the ,still tri find, Unknown,unknown,1,0,1,0,other,,,,,
100,0,2,cosine,2779.790189,12,7,0,0,0,0.5,1,0.666666667,what terminal did the Passengers have to leave ?,"2, ",2, Terminal 2,termin 2,1,0,0,1,what,,,,,
100,0,2,cosine,2803.732879,13,1,0,0.33,0,0.166666667,0.2,0.181818182,What do analysts say about the Fashion industry job market say?,"""Fashion is being hit particularly hard ",`` fashion hit particularli hard, Analysts predict a challenging job market for fashion.,analyst predict challeng job market fashion,1,0,0,1,what,,,,,
100,0,2,cosine,2826.266723,13,2,0,0,0,0.5,0.5,0.5,What industry is being hit hard?,"""Fashion ",`` fashion,1. Fashion,1. fashion,1,0,0,1,what,,,,,
100,0,2,cosine,2849.461921,13,3,0,0,0,0.5,0.5,0.5,Which job market is being hit very hard?,"""Fashion ",`` fashion, Fashion industry,fashion industri,1,0,0,1,other,,,,,
100,0,2,cosine,2872.291801,13,4,0,0,0,0,0,0,What is the name of the college?,"of Art and Design.
",art design, Seminary (implied from context),seminari impli context,1,1,0,0,what,,,,,
100,0,2,cosine,2900.139258,13,5,0,0.33,1,1,1,1,What did the designer make for years?,doll clothes ,doll cloth, Doll clothes,doll cloth,0,0,0,0,what,,,,,
100,0,2,cosine,2927.601758,13,6,0,0,0,0.5,1,0.666666667,Who do Students at Savannah College of Art and Design get advice from?,Yigal Azrouël ,yigal azrouël,1. Yigal Azrouël (Designer),1. yigal azrouël design,1,0,0,1,who,,,,,
100,0,2,cosine,2950.541123,13,7,0,0,0,0,0,0,Which students get advice?,new graduates ,new graduat,23 students,23 student,1,1,0,0,other,,,,,
100,0,2,cosine,2973.792253,13,8,0,0,0,1,0.666666667,0.8,Who made doll clothing for years?,"""Jason Wu, ",`` jason wu, Jason Wu,jason wu,1,0,0,1,who,,,,,
100,0,2,cosine,2999.365936,14,0,0,0,0,0.5,1,0.666666667,when does paul died?,Thursday ,thursday,2009 (Thursday),2009 thursday,1,0,0,1,when,,,,,
100,0,2,cosine,3028.876718,14,1,0,0,0,0,0,0,what wasn't particularly popular when introduced?,the Gibson Les Paul ,gibson le paul,1960s guitar,1960 guitar,1,0,1,0,what,,,,,
100,0,2,cosine,3053.785573,14,2,0,0,1,1,1,1,Who made recommendations on how to improve guitars?,Les Paul ,le paul, Les Paul,le paul,0,0,0,0,who,,,,,
100,0,2,cosine,3084.618208,14,3,0,0,0,0,0,0,What wasn't popular when introduced?,Gibson Les Paul ,gibson le paul,80-year-old guitar,80-year-old guitar,1,1,0,0,what,,,,,
100,0,2,cosine,3108.036183,14,4,0.33,0,1,1,1,1,Who died on thursday at 94,Les Paul ,le paul, Les Paul,le paul,0,0,0,0,who,,,,,
100,0,2,cosine,3132.521527,14,5,0,0,1,1,1,1,What was Paul's age at death?,"94.
",94,94,94,0,0,0,0,what,,,,,
100,0,2,cosine,3169.338225,14,7,0,0,0,0.095238095,1,0.173913043,what was the recommendations of les paul?,"how to improve guitars, ",improv guitar,"1. Solid body electric guitar design (1952)
    2. Humbucker pickups for better sound quality
    3. Tune-o-matic bridge and stopbar tailpiece for improved tuning stability",1. solid bodi electr guitar design 1952 2. humbuck pickup better sound qualiti 3. tune-o-mat bridg stopbar tailpiec improv tune stabil,1,1,0,0,what,,,,,
100,0,2,cosine,3194.419873,15,0,0,0,0,0,0,0,What did the French president say?,"urged the body to recognize Palestine as a non-member state, calling for a more definitive timetable for Israeli-Palestinian peace talks. But he also warned that a U.S. veto of the bid for full membership in the Security Council could be dangerous and might spark violence.
",urg bodi recogn palestin non-memb state call definit timet israeli-palestinian peac talk also warn u.s. veto bid full membership secur council could danger might spark violenc, Not provided in the information given.,provid inform given,1,1,0,0,what,,,,,
